Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,Boolean Satisfiability,CNF-SAT,Vertex Reachability,ST-Reach,105,,,,,,SETH,"if: to-time: $O(m^{2-\epsilon})$ amrotized update and query times, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"ST-Reach: $(S,T)$-Reacability, maintain: a directed graph and fixed node subsets $S$ and $T$, under: edge insertions/deletions, answer is the diameter 3 or 4?",,
,Graph Triangle Problems,Triangle Detection,Vertex Reachability,st-Reach,106,,,,,,Strong Triangle,"assume: SETH
then: for any fixed constants $\epsilon > 0$, $c_1,c_2 \in [0,1]$, on graphs with $n$ nodes $|S|=\tilde{\Theta}(n^{c_1})$, $|T|=\tilde{\Theta(n^{c_2})}$, $m=O(n)$ edges, and capacaties in $\{1,\cdots,n\}$, target cannot be solved in $O((|S||T|m)^{1-\epsilon})$",,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"$s,t$-Reach: $(s,t)$-Reachability, maintain: a directed graph and fixed vertices $s,t$, under: edge insertions/deletions, answer: is $t$ reachable from $s$? ",,
,Graph Triangle Problems,Triangle Detection,Strongly Connected Components,Strong Connectivity (dynamic),107,,,,,,Strong Triangle,"let $\gamma = (w-1)/(w+1) \in [1/3,0.408]$
if: to-time: $O(m^{2\gamma-\epsilon})$ update and query times even after O(m^{1+\gamma-\epsilon}) preprocessing time for any $\epsilon > 0$
then: Strong Triangle is false",,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"strong connectivity, maintain: a directed graph, under edge insertions/deletions, answer: is the graph strongly connected?",,
,Graph Triangle Problems,Triangle Detection,Maximum-Weight Matching,Bipartite Maximum-Weight Matching,108,,,,,,Strong Triangle,"let $\gamma = (w-1)/(w+1) \in [1/3,0.408]$
if: to-time: $O(m^{2\gamma-\epsilon})$ update and query times even after O(m^{1+\gamma-\epsilon}) preprocessing time for any $\epsilon > 0$
then: Strong Triangle is false",,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"bipartite matching: Bipartite Perfect Matching, maintain: an undirected bipartite graph, under: edge insertions/deletions, answer: does the graph have a perfect matching",,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",$st$-Shortest Path,109,,,,,,APSP Hypothesis,"if: to-time: amortized $O(n^{2-\epsilon})$ update and query times in decremental or incremental graphs
then: APSP Hypothesis is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"$st$-SP: $(s,t)$-shortest path: maintain an undirected weighted graph and fixed vertices $s,t$, under: edge insertions/deletions, answer: what is the distance between $s$ and $t$",,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Maximum-Weight Matching,Bipartite Maximum-Weight Matching,110,,,,,,APSP Hypothesis,"if: to-time: amortized $O(n^{2-\epsilon})$ update and query times in decremental or incremental graphs
then: APSP Hypothesis is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"BWMatch: Bipartite Maximum Weight Matching, maintain: an undirected bipartite graph with integer edge weights, under: edge insertions/deletions, answer: what is the weight of the maximum weight matching",,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,st-Maximum Flow,111,,,,,,SETH,"assume: SETH
then: for any fixed constants $\epsilon > 0$, $c_1,c_2 \in [0,1]$, on graphs with $n$ nodes $|S|=\tilde{\Theta}(n^{c_1})$, $|T|=\tilde{\Theta(n^{c_2})}$, $m=O(n)$ edges, and capacaties in $\{1,\cdots,n\}$, target cannot be solved in $O((|S||T|m)^{1-\epsilon})$",,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,All-Pairs Maximum Flow,112,,,,,,SETH,"assume: SETH
then: for any fixed $\epsilon > 0$, in graphs with $n$ nodes, $m=O(n)$ edges, and capacities in $\{1,\cdots,n\}$ target cannot be solved in time $O((n^{2}m)^{1-\epsilon})$",3,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,All-Pairs Maximum Flow,113,,,,,,SETH,"assume: SETH
then: for any fixed constants $\epsilon > 0$, $c_1,c_2 \in [0,1]$, on graphs with $n$ nodes $|S|=\tilde{\Theta}(n^{c_1})$, $|T|=\tilde{\Theta(n^{c_2})}$, $m=O(n)$ edges, and capacaties in $\{1,\cdots,n\}$, target cannot be solved in $O((|S||T|m)^{1-\epsilon})$",,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,st-Maximum Flow,114,,,,,,SETH,"assume: SETH
then: for any fixed $\epsilon > 0$, in graphs with $n$ nodes, $m=O(n)$ edges, and capacities in $\{1,\cdots,n\}$ target cannot be solved in time $O((n^{2}m)^{1-\epsilon})$",3,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Boolean Satisfiability,MAX-CNF-SAT,Maximum Flow,Maximum Local Edge Connectivity,115,,,,,,SETH,"assume: SETH
then: for any $\epsilon > 0$, in graphs with $n$ nodes and $\tilde{O}(n)$ edges, target cannot be solved in time $O(n^{2-\epsilon})$",2,"Krauthgamer, R., & Trabelsi, O. (2018). Conditional lower bounds for all-pairs max-flow. ACM Transactions on Algorithms (TALG), 14(4), 1-15.",https://dl.acm.org/doi/abs/10.1145/3212510,2018,,,,
,Matrix-Vector Multiplication,OuMv,Maximum Cardinality Matching,Bipartite Graph MCM,116,,,,,,OMv Conjecture,"assume: OMv
then: there is no algorithm for solving incremental (or decremental) maximum cardinality bipartite matching with amortized time $O(n^{1-\epsilon})$ per insertion (or deletion) and $O(n^{2-\epsilon})$ time per query for any $\epsilon > 0$",2,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Boolean Satisfiability,CNF-SAT,Maximum Flow,dynamic st-Maximum Flow,117,,,,,,SETH,"assume: SETH
then: there is no algorithm for solving incremental (or decremental) st-max-flow on a weighted and directed graph with $n$ nodes and $\tilde{O}(n)$ edges with amortized time $O(m^{1-\epsilon})$ per operation for any $\epsilon > 0$",1,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Matrix-Vector Multiplication,OuMV,Maximum Flow,dynamic st-Maximum Flow,118,,,,,,OMv Conjecture,"assume: OMv
then: there is no algorithm for solving incremental (or decremental) st-max-flow on unweifghted directed graphs or weighted undirected graphs on $n$ nodes with amortized time $O(n^{1-\epsilon})$ per operation for any $\epsilon > 0$",1,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Graph Triangle Problems,Triangle Collection*,Graph Metrics,dynamic 4/3-Diameter,119,,,,,,SETH or 3SUM Hypothesis or APSP Hypothesis,"assume: SETH or 3SUM Hypothesis or APSP Hypothesis
then: there exists no incremental (or decremental) algorithm that approximates the diameter of unweighted graph within a factor of $4/3-\epsilon$ running in amortized time $O(n^{1/2-\epsilon'})$ for any $\epsilon,\epsilon' > 0$. Furthermore, if we allow node insertions in the incremental case the bound is $O(n^{0.618-\epsilon'})$",0.5,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Graph Triangle Problems,Triangle Collection*,Graph Metrics,dynamic 4/3-Diameter,120,,,,,,SETH or 3SUM Hypothesis or APSP Hypothesis,"assume: SETH or 3SUM Hypothesis or APSP Hypothesis
then: there exists no static $4/3-\epsilon$ approximation to the diameter on unweighted graphs running in $O((n\sqrt{m})^{1-\epsilon'})$ time for any $\epsilon,\epsilon' > 0$ and an number of edges $m$",0.5,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Graph Triangle Problems,Triangle Collection*,Graph Metrics,dynamic 4/3-Diameter,121,,,,,,SETH or 3SUM Hypothesis or APSP Hypothesis,"assume: SETH or 3SUM Hypothesis or APSP Hypothesis
then: there exists no static $4/3-\epsilon$ approximation with additive error $O(m^\delta)$ with running time $O(m^{\frac{3}{2}(1-\delta)-\epsilon'})$ or incremental/decremental algorithm with amortized time $O(m^{\frac{1}{2}-\frac{3\delta}{2}-\epsilon'})$ for any $\epsilon,\epsilon' > 0$",0.5,"Dahlgaard, S. (2016). On the hardness of partially dynamic graph problems and connections to diameter. arXiv preprint arXiv:1602.06705.",https://arxiv.org/abs/1602.06705,2016,,,,
,Matrix Product,BMM,Vertex Reachability,2-sensitive incremental st-reach,122,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,Vertex Reachability,1-sensitive incremental ss-reach,123,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,Vertex Reachability,ap-reach,124,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,"Shortest Path
(Directed graphs)",2-sensitive (7/5)-approximate st-shortest paths,125,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$ in undirected unweighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,"Shortest Path
(Directed graphs)",1-sensitive (3/2)-approximate ss-shortest paths,126,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$ in undirected unweighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,"Shortest Path
(Directed graphs)",(5/3)-approximate ap-shortest paths,127,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,Graph Metrics,1-sensitive (4/3)-approximate decremental diameter,128,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$ in undirected unweighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,Graph Metrics,1-sensitive (4/3)-approximate decremental eccentricity,129,,,,,,BMM Hypothesis,"assume: BMM
then: combinatorial algorithms cannot solve target with preprocessing time $O(n^{3-\epsilon})$, and update and query times $O(n^{2-\epsilon)$ for any $\epsilon > 0$ in undirected unweighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Matrix Product,BMM,"Shortest Path
(Directed graphs)",1-sensitive decremental st-shortest paths,130,,,,,,BMM Hypothesis,"assume: BMM
then: for directed unweighted graphs with $n$ vertices and $m \geq n$ edges require either $m^{1-o(1)}\sqrt{n}$ preprocessing time or $m^{1-o(1)}/\sqrt{n}$ query time for every function $m$ of $n$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,"Shortest Path
(Directed graphs)",Replacement Paths Problem (RPP),"Shortest Path
(Directed graphs)",1-sensitive decremental st-shortest paths,131,,,,,,APSP Hypothesis,"assume: APSP Hypothesis
then: target cannot be solved with preprocessing time $O(n^{3-\epsilon})$ and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in directed weighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",2-sensitive decremental st-shortest paths,132,,,,,,APSP Hypothesis,"assume: APSP Hypothesis
then: target cannot be solved with preprocessing time $O(n^{3-\epsilon})$ and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in undirected weighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Graph Metrics,1-sensitive decremental diameter,133,,,,,,APSP Hypothesis,"assume: APSP Hypothesis
then: target cannot be solved with preprocessing time $O(n^{3-\epsilon})$ and update and query times $O(n^{2-\epsilon})$ for any $\epsilon > 0$ in undirected weighted graphs",2,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Boolean Satisfiabiltiy,CNF-SAT,Vertex Reachability,sensitive incremental #SSR,134,,,,,,SETH,"assume: SETH
then: let $\epsilon > 0$, $t \in \mathbb{N}$, there exists no algorithm for target with preprocessing time $O(n^t)$, update time $u(n)$ and query time $q(n)$, such that $max\{u(n),q(n)\}=O(n^{1-\epsilon})$ with constant sensitivity $K(\epsilon,t)$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Boolean Satisfiabiltiy,CNF-SAT,Graph Metrics,constant sensitivity (4/3)-approximate incremental diameter,135,,,,,,SETH,"assume: SETH
then: let $\epsilon > 0$, $t \in \mathbb{N}$, there exists no algorithm for target with preprocessing time $O(n^t)$, update time $u(n)$ and query time $q(n)$, such that $max\{u(n),q(n)\}=O(n^{1-\epsilon})$ with constant sensitivity $K(\epsilon,t)$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Boolean Satisfiabiltiy,CNF-SAT,Vertex Reachability,sensitive incremental ST-Reach,136,,,,,,SETH,"assume: SETH
then: let $\epsilon > 0$, $t \in \mathbb{N}$, there exists no algorithm for target with preprocessing time $O(n^t)$, update time $u(n)$ and query time $q(n)$, such that $max\{u(n),q(n)\}=O(n^{1-\epsilon})$ with constant sensitivity $K(\epsilon,t)$",1,"Henzinger, M., Lincoln, A., Neumann, S., & Williams, V. V. (2017). Conditional hardness for sensitivity problems. arXiv preprint arXiv:1703.01638.",https://arxiv.org/pdf/1703.01638.pdf,2017,,,,
,Orthogonal Vectors,OV,Bichromatic Hamming Close Pair,Bichromatic Hamming Close Pair,137,,,,,,OVH,"assume: OVH
then: there is no algorithm to solve target in time $O(2^{o(d)}n^{2-\epsilon})$ on a set of $n$ points in $\{0,1\}^{c\log n}$",2,"Alman, J., & Williams, R. (2015, October). Probabilistic polynomials and hamming nearest neighbors. In 2015 IEEE 56th Annual Symposium on Foundations of Computer Science (pp. 136-150). IEEE.",https://ieeexplore.ieee.org/abstract/document/7354392,2015,,,,
,Clique,k-Clique,CFG Problems,CFG Recognition,138,,,,,,k-Clique Hypothesis,"assume: k-Clique Hypothesis
then: there is no $O(N^{\omega-\epsilon}) time algorithm for target for any $\epsilon > 0$",\Omega,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Clique,k-Clique,RNA Folding,RNA Folding,139,,,,,,k-Clique Hypothesis,"assume: k-Clique Hypothesis
then: there is no $O(N^{\omega-\epsilon}) time algorithm for target for any $\epsilon > 0$",\Omega,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Clique,k-Clique,CFG Problems,CFG Recognition,140,,,,,combinatorial,k-Clique Hypothesis,"assume: k-Clique Hypothesis
then: there is no $O(N^{\3-\epsilon}) time combinatorial algorithm for target for any $\epsilon > 0$",3,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Clique,k-Clique,RNA Folding,RNA Folding,141,,,,,combinatorial,k-Clique Hypothesis,"assume: k-Clique Hypothesis
then: there is no $O(N^{\3-\epsilon}) time combinatorial algorithm for target for any $\epsilon > 0$",3,"Abboud, A., Backurs, A., Bringmann, K., & Künnemann, M. (2017, October). Fine-grained complexity of analyzing compressed data: Quantifying improvements over decompress-and-solve. In 2017 IEEE 58th Annual Symposium on Foundations of Computer Science (FOCS) (pp. 192-203). IEEE.",https://ieeexplore.ieee.org/abstract/document/8104058,2017,,,,
,Boolean Satisfiability,k-SAT,The Subset-Sum Problem,Subset Sum,142,,,,,,SETH,"assume: SETH
then: for any $\epsilon > 0$ there exists a $\delta > 0$ such that Subset Sum is not in time $O(T^{1-\epsilon}2^{\delta n})$, and $k$-Sum is not in time $O(T^{1-\epsilon}n^{\delta k})$",,"Abboud, A., Bringmann, K., Hermelin, D., & Shabtay, D. (2022). SETH-based lower bounds for subset sum and bicriteria path. ACM Transactions on Algorithms (TALG), 18(1), 1-22.",https://dl.acm.org/doi/full/10.1145/3450524,2022,,,,
,Orthogonal Vectors,OV,Graph Isomorphism Problem,Subtree Isomorphism,143,,,,,,OVH,"assume: OVH
then: for all $d \geq 2$, target on two rooted unordered trees of size $O(n)$, degree $d$, and height $h \leq 2\log_d n + O(\log \log n)$ cannot be solved in truly subquadratic $O(n^{2-\epsilon})$ time",2,"Abboud, A., Backurs, A., Hansen, T. D., Vassilevska Williams, V., & Zamir, O. (2018). Subtree isomorphism revisited. ACM Transactions on Algorithms (TALG), 14(3), 1-23.",https://dl.acm.org/doi/pdf/10.1145/3093239,2018,,,,
,Orthogonal Vectors,OV,Graph Isomorphism Problem,Largest Common Subtree,144,,,,,,OVH,"assume: OVH
then: for all constants $d \geq 2$, target on two rooted trees of size at most $n$, degree $d$, and height $h \leq \log_d n + O(\log \log n)$ cannot be solved in truly subquadtratic $O(n^{2-\epsilon})$ time",2,"Abboud, A., Backurs, A., Hansen, T. D., Vassilevska Williams, V., & Zamir, O. (2018). Subtree isomorphism revisited. ACM Transactions on Algorithms (TALG), 14(3), 1-23.",https://dl.acm.org/doi/pdf/10.1145/3093239,2018,,,,
,Graph Triangle Problems,Triangle Detection,Model-Checking Problem,Disjunctive coBüchi Objectives,145,,,,,,Strong Triangle,"assume: Strong Triangle
then: there is no combinatorial $O(n^{3-\epsilon})$ or $O((k\cdot n^2)^{1-\epsilon})$-time algorithm for any $epsilon > 0$ for generalized Büchi games. In particular, there is no such algorithm deciding whether the winning set is non-empty or deciding whether a specific vertex is in the winning set.",3,"Chatterjee, K., Dvořák, W., Henzinger, M., & Loitzenbauer, V. (2016). Conditionally Optimal Algorithms for Generalized B\"" uchi Games. arXiv preprint arXiv:1607.05850.",https://arxiv.org/pdf/1607.05850.pdf,2016,,,,
,Orthogonal Vectors,OV,Model-Checking Problem,Generalized Büchi Games,146,,,,,,OVH,"assume: OVH
then: there is no $O(m^{2-\epsilon})$ or $O(\min_{1 \leq i \leq k} b_i \cdot (k \cdot m)^{1-\epsilon})$-time algorithm (for any $\epsilon > 0$ for generalized Büchi games. In particular there is no such algorithm for deciding whether the winning set is non-empty  or deciding whether a specifc vertex is in the winning set.",2,"Chatterjee, K., Dvořák, W., Henzinger, M., & Loitzenbauer, V. (2016). Conditionally Optimal Algorithms for Generalized B\"" uchi Games. arXiv preprint arXiv:1607.05850.",https://arxiv.org/pdf/1607.05850.pdf,2016,,,,
,Graph Triangle Problems,Triangle Detection,Model-Checking Problem,Disjunctive Queries of Reachability in MDPs,147,,,,,,Strong Triangle,"assume: Strong Triangle
then: there is no combinatorial $O(n^{3-\epsilon}) or $O((k \cdot n^2)^{1-\epsilon}) algorithm for any $\epsilon > 0$ for target. The bounds holf for dense MDPs with $m=\Theta(n^2)$",3,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
,Orthogonal Vectors,OV,Model-Checking Problem,Disjunctive Queries of Reachability in MDPs,148,,,,,,Strong Triangle,"assume: Strong Triangle
then: there is no $O(m^{2-\epsilon}) or $O((k \cdot m)^{1-\epsilon})$ algorithm, for any $\epsilon > 0$ for target.",2,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
,Graph Triangle Problems,Triangle Detection,Model-Checking Problem,Disjunctive Queries of Safety in Graphs,149,,,,,combinatorial,Strong Triangle,"assume: Strong Triangle
then: there is no combinatorial $O(n^{3-\epsilon})$ or $O((k \cdot n^2)^{1-\epsilon})$ algorithm, for any $\epsilon > 0$ for disjunctive safety (objectives or queries) in graphs.",3,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
,Orthogonal Vectors,OV,Model-Checking Problem,Disjunctive Queries of Safety in Graphs,150,,,,,,OVH,"assume: OVH
then: there is no $O(m^{2-\epsilon})$ or $O((k \cdot m)^{1 - \epsilon})$ algorithm for any $\epsilon > 0$ for disjunctive safety ovjectives/queries in MDPs.",2,"Chatterjee, Krishnendu, et al. ""Model and objective separation with conditional lower bounds: Disjunction is harder than conjunction."" Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science. 2016.",https://dl.acm.org/doi/pdf/10.1145/2933575.2935304,2016,,,,
